game_str,play_id,nth_throw,safe,advanced,thr_ts,acq_ts,arr_ts,closest_itsx_ts,E_itsx_ts,E_ft_til_1st_itsx,ft_til_1st,itsx_catch_ts_delta,plane_orientation_polar,plane_orientation_azimuth,ball_norm_x_plane,ball_dis_plane_origin,proj_ball_z,ball_direction_polar,ball_direction_azimuth
y1_d001_CGA_QEA,21,2,True,False,563799,563149.0,564699.0,564599,564599.7740354696,0.9761999760368254,-1.802770960843712,99.22596453037113,135.69277273337025,2.823368193329543,0.3338049175460048,6.875793036543243,6.894815890824345,-51.9207973749416,-6.292179135673615
y1_d001_CGA_QEA,26,1,False,False,719299,718549.0,719949.0,719849,719849.9064670227,15.41286741366505,12.778548684682209,99.09353297727648,-150.59227500437012,3.6041027383315907,-0.06902710440468357,3.840072573557817,4.360962785801846,27.89564108213659,-4.14801453773236
y1_d001_CGA_QEA,136,1,False,False,5164805,5163655.0,5165855.0,5165755,5165755.391208614,27.80836074337843,25.542957455949274,99.6087913857773,135.8053731610661,2.378694456338337,-0.24567399057515343,5.629983698883339,5.807699810934512,-45.00263926387537,-8.633724442806011
y1_d001_CGA_QEA,138,1,False,False,5243405,5241605.0,5244255.0,5244105,5244105.4971694,37.72902580366346,33.98687308348844,149.502830600366,-171.76018710684085,5.153381385116774,-0.10528416939352493,4.933341932988597,5.654296221817511,8.531213674288834,-13.300129032928647
y1_d001_CGA_QEA,141,1,False,False,5428705,5427355.0,5429605.0,5429505,5429505.722321871,23.152936627497304,20.77210800328364,99.27767812926322,143.0592009772712,2.93277102633985,0.6681584379108598,2.9567831039095473,2.6346023642828813,-39.69862805755409,-7.418323304949605
y1_d001_CGA_QEA,218,1,False,False,8410080,8408580.0,8410780.0,8410680,8410680.615279974,15.62530830569548,12.760941725830646,99.3847200255841,-173.98996209753668,5.942160214429009,-0.563283735159911,5.241099615718784,5.192652615425767,9.611144251506383,-8.798062844821645
y1_d001_CGA_QEA,236,1,False,False,9077130,9075980.0,9078430.0,9078380,9078380.341941359,18.866737808686608,17.511002239129414,49.65805864147842,166.00762362632145,2.3171305181343484,-0.5489838195199505,2.3137819813359695,2.2781356014964516,-17.121085477160218,-12.69484970959003
y1_d001_CGA_QEA,252,1,False,False,9620380,9619030.0,9621680.0,9621580,9621580.452686362,23.992873783166992,21.371593132373604,99.54731363803148,163.96207007246812,2.415895293702164,0.41016016190310123,2.8947287112912,2.9981967103042613,-19.171236239281807,-14.087143753606542
y1_d001_CGA_QEA,255,1,False,False,9718180,9717230.0,9719230.0,9719130,9719130.937308047,17.15410914902975,14.54136589018027,99.06269195303321,129.59663826103906,2.9682999140337074,0.20469628554810126,5.199113457012139,5.525074404778573,-52.619819862311225,-8.785828098115445
y1_d001_CGA_QEA,311,2,False,False,11887230,11886580.0,11887930.0,11887880,11887880.327790782,9.159445508312563,7.896117781945333,49.67220921814442,134.28927800940141,3.536059654016924,0.5441244176309769,5.824164251954144,5.40468649102604,-48.239359808661085,-4.933921067830687
y1_d002_CGA_QEA,11,1,False,False,450721,449621.0,451571.0,451471,451471.821572568,10.377582425944674,7.392516332384269,99.17842743202345,-169.67157002999818,3.9610678997127593,-0.2174673600118125,3.840130114496457,4.330066835099556,12.812205330586176,-8.120749675690309
y1_d002_CGA_QEA,30,1,False,False,1139571,1138321.0,1140371.0,1140271,1140271.6597033828,12.139738058276377,9.613114468022497,99.34029661724344,138.26648310026894,3.9576787323542533,0.46727548291690846,7.541045588359392,7.24151736960465,-58.036846670333695,-2.6893551069198622
y1_d002_CGA_QEA,31,1,False,False,1181171,1180321.0,1181971.0,1181871,1181871.1894906498,33.57248352636345,31.32928295707692,99.81050935015082,-138.3927215709707,3.385007551172748,-0.8908087826543891,4.791926938450588,2.678532187639212,44.90913075519484,-9.68662869493921
y1_d002_CGA_QEA,35,1,False,False,1283721,1282921.0,1284821.0,1284771,1284771.1319495023,15.973398632644441,14.52609238370663,49.86805049772374,144.23444482406887,1.5803306473057148,-0.21286782667473356,4.340698099927659,4.475465021611856,-37.68876058481945,-7.563532074677145
y1_d002_CGA_QEA,49,2,False,False,1774221,1773671.0,1774971.0,1774921,1774921.3926017585,6.804665483616737,5.463387611951125,49.607398241525516,133.05776181238963,2.5146203756113152,0.13535975734846054,3.010775297666675,3.355427663383613,-46.87956405815769,-6.220062834382578
y1_d002_CGA_QEA,124,1,False,False,4390071,4388821.0,4390971.0,4390871,4390871.8710777955,15.555755683350457,12.70706018910424,99.12892220448703,133.3846778123991,2.362227855423612,-0.10812871664555322,4.131763659040742,4.456555841675311,-47.479112517676214,-8.570473452169763
y1_d002_CGA_QEA,128,1,False,False,4515221,4514371.0,4516421.0,4516321,4516321.543040181,20.70064972159811,18.15906560408688,99.45695981942117,141.8383064561125,1.6418131845566108,0.3558592990135905,6.689726918953263,6.494286158623939,-39.421875061051516,-9.509896025660998
y1_d002_CGA_QEA,142,1,True,False,5023471,5022971.0,5024521.0,5024421,5024421.426234028,4.7229130810180315,2.039152313377152,99.57376597169787,177.5276818248031,2.5035114771037,-0.6838858879348555,6.897278715748362,5.400953502034825,-1.778977197004107,-10.700251153244366
y1_d002_CGA_QEA,145,1,False,False,5127921,5126571.0,5129221.0,5129171,5129171.08427636,21.58505324344909,20.127863014944584,49.915723639540374,175.54600787105926,1.6839213274024587,0.7248228641089937,7.228774447558405,5.2293281763732775,-11.785483609804254,-12.523738388240231
y1_d002_CGA_QEA,176,1,False,False,6299221,6298321.0,6299971.0,6299871,6299871.503586014,12.651456760541862,9.859611891944134,99.4964139861986,-159.71020831847162,3.8888515142919857,-0.07224852051633629,5.192619960904252,5.7471646715684575,18.264946688715455,-6.5428106531455406
y1_d002_CGA_QEA,227,1,False,False,8077671,8076271.0,8078471.0,8078321,8078321.894530609,30.131354583257874,27.01769935879194,149.10546939074993,89.76997541946992,3.59975869029293,0.535673916301578,5.304843617549759,5.007683136818666,-90.88110113035002,-7.439103334737986
y1_d002_CGA_QEA,232,2,True,False,8325521,8324921.0,8326371.0,8326321,8326321.264638489,,-4.60715645502958,49.73536151088774,133.917048629742,2.883060422599698,-0.23714869838633287,3.1043186296740024,3.4421158275433075,-48.617151533681536,-8.35924125894335
y1_d002_CGA_QEA,254,1,False,False,9211371,9210371.0,9212221.0,9212071,9212071.492617529,22.72017191593723,19.424645321054555,149.5073824711144,-158.1963647485132,6.942480796847292,0.1856853922791695,6.628396501508122,7.499133017620714,20.449255866394868,-9.804330002192883
y1_d003_CGA_QEA,5,1,False,False,72690,71840.0,73790.0,73740,73740.36841443804,19.03706409846462,17.810532671640022,49.6315855619614,140.0041095585634,2.4719426743572797,0.618354686198234,5.048365199989658,4.332684106665139,-45.38483804502755,-12.178802614972557
y1_d003_CGA_QEA,12,1,False,False,379540,378090.0,380390.0,380290,380290.08209636627,25.784203169934507,23.49715611662036,99.91790363373002,85.60891470187778,7.692111475462184,0.2121137142263563,5.289770319168238,6.267633546735474,-95.54217188518922,-15.413347865371193
y1_d003_CGA_QEA,14,1,False,False,430390,427990.0,431290.0,431140,431140.3106730943,32.75152184824796,30.012367287795087,149.68932690570364,179.7220732391478,10.389514334004673,-0.06591153592240175,4.136581718762019,5.60226078736076,0.4721841080064072,-19.980924500465008
y1_d003_CGA_QEA,63,1,False,False,2916256,2914506.0,2917256.0,2917206,2917206.1759051806,11.919732668269235,10.313786577500252,49.82409481937066,174.25238326177276,3.1303591169543097,-0.7633377858039023,2.3373099890203464,1.9746815546123173,-7.013593791852971,-9.412800570508223
y1_d003_CGA_QEA,81,1,False,False,3557306,3555956.0,3558056.0,3557956,3557956.37386807,20.72024713028294,18.58629952127979,99.62613192992285,86.23905236242615,3.405272747303286,0.5340286887353202,4.712343285311687,4.485095830359085,-96.6707974175479,-6.544705856045175
y1_d003_CGA_QEA,105,1,False,False,4451456,4450306.0,4452706.0,4452606,4452606.900327836,8.320269714940526,5.26546842389702,99.09967216383666,150.04644342346785,2.585917501775839,-0.4021563154005612,7.110123742947719,6.889060663633013,-29.477367294572428,-11.982497647031206
y1_d003_CGA_QEA,124,1,False,False,5267106,5265756.0,5268456.0,5268356,5268356.638171764,11.630183332955424,8.733615053582664,99.36182823590934,167.89305820752975,2.575961818145288,-0.1289971566229094,6.592720044381892,6.915413285061371,-13.320083522456052,-9.682600142304496
y1_d003_CGA_QEA,133,2,False,False,5483856,5483256.0,5484806.0,5484706,5484706.9803189635,14.673084556788783,12.137909940927177,99.01968103647232,135.4448234317515,2.828026816026693,0.5256651046073182,7.277796464302209,6.605585734000166,-48.89215973569863,-7.91970280834822
y1_d003_CGA_QEA,139,1,False,False,5737906,5736906.0,5738706.0,5738456,5738456.49604235,35.02940389376339,28.9761022999662,249.5039576496929,106.45021223990045,5.9086152182821365,0.8656397064457712,11.844841639474591,6.779231899329435,-99.62871800212044,-5.150752982200551
y1_d003_CGA_QEA,145,1,False,False,5892306,5889656.0,5893056.0,5892906,5892906.050008584,32.341068698582205,29.58110286194941,149.9499914161861,-169.17654131041826,5.3923290487532824,0.01836576342858364,4.470033048107291,5.253220688998639,8.631354327941052,-10.174197665144192
y1_d003_CGA_QEA,152,1,False,False,6202456,6201606.0,6203306.0,6203206,6203206.285905259,9.10396856341322,6.26906507843508,99.71409474126995,129.253540986016,3.980693107338965,0.06257774034720116,3.077892796681467,3.6581659175763726,-52.3272376190697,-9.949993974521643
y1_d003_CGA_QEA,166,1,True,False,6787206,6786656.0,6788606.0,6788506,6788506.714515297,-1.611981792998788,-3.939789074945707,99.28548470325768,164.29183942442558,2.746839595539427,-0.6756398462898618,1.4121441737593217,1.449742586458695,-18.70323263104322,3.3678489173832498
y1_d003_CGA_QEA,169,1,False,False,7246427,7245277.0,7247077.0,7246927,7246927.961721227,18.03491129432729,14.1480730984843,149.038278773427,135.3962330490757,11.274528820008499,0.33002254619412785,5.533762188628481,6.795011506524395,-47.014237592969884,-11.472909147176104
y1_d003_CGA_QEA,189,1,False,False,8047741,8046841.0,8048441.0,8048291,8048291.62348509,35.357948685271445,32.47352315039299,149.37651490978897,-143.9589458316559,7.301431218647622,-0.2966201193310632,5.731295494302496,6.515909949390488,34.9282636044763,-5.983736187660116
y1_d004_CGA_QEA,4,1,False,False,79183,77533.0,80041.0,79909,79909.47031164938,22.20578562304548,19.46579893571961,131.52968835062347,-168.7076166588162,8.065621695122417,-0.13895853272788514,5.223828070997928,6.321950136536131,12.544096193230082,-12.952817731040234
y1_d004_CGA_QEA,50,1,False,False,1746577,1745752.0,1747699.0,1747600,1747600.7893391843,7.036465779186367,3.971675146359992,98.21066081570461,120.48680815215806,1.9337739766779976,0.19574340405666216,3.4511742933100997,3.6710822169463775,-61.981478548284365,-11.147808341163323
y1_d004_CGA_QEA,56,1,False,False,2088978,2087493.0,2089737.0,2089704,2089704.4190205184,16.039937333289817,15.419380380379597,32.580979481572285,120.11964686462238,3.9360063022126326,0.25082590826689966,6.725932768321219,7.082624451229895,-72.04009877863166,-0.48364289876995004
y1_d004_CGA_QEA,81,1,False,False,3100298,3098846.0,3101057.0,3100958,3100958.2737961365,18.139587380766017,15.68009065060308,98.726203863509,139.0689117660201,3.8543303244332776,0.16903719664279718,4.723972679468734,5.220360521671875,-43.31213948933478,-3.82611387320658
y1_d004_CGA_QEA,112,1,False,False,4592841,4591191.0,4593831.0,4593765,4593765.899327939,3.4129184341693937,1.6706789697008362,65.10067206062376,164.92139986314254,1.0684908637409478,0.394926221285474,5.032707492916973,4.782292396942427,-17.5004517618307,-10.863414051945437
y1_d004_CGA_QEA,126,1,False,False,5097345,5096982.0,5098038.0,5098038,,,14.960326658033296,,138.63428068091986,0.9173328561224423,-0.5807373202861986,2.462774667877037,2.141589298434344,,
y1_d004_CGA_QEA,195,2,False,False,7505578,7504885.0,7506205.0,7506139,7506139.817725066,19.43778767919515,17.65928253114422,65.18227493390441,129.80346456380016,2.0374097741777746,0.3485917169986795,3.1521955654060663,3.2566634674211574,-51.037261155342314,0.2196750175098499
