game_str,play_id,thr_ts,acq_ts,arr_ts,target_base,nth_throw
y1_d001_CGA_QEA,21,562499,561799,563149,second,1
y1_d001_CGA_QEA,21,563799,563149,564699,first,2
y1_d001_CGA_QEA,26,719299,718549,719949,first,1
y1_d001_CGA_QEA,136,5164805,5163655,5165855,first,1
y1_d001_CGA_QEA,138,5243405,5241605,5244255,first,1
y1_d001_CGA_QEA,141,5428705,5427355,5429605,first,1
y1_d001_CGA_QEA,152,5966419,5965769,5967319,first,1
y1_d001_CGA_QEA,205,7966380,7965530,7967080,first,1
y1_d001_CGA_QEA,218,8410080,8408580,8410780,first,1
y1_d001_CGA_QEA,220,8587080,8585580,8588080,first,1
y1_d001_CGA_QEA,225,8705380,8704580,8705980,first,1
y1_d001_CGA_QEA,236,9077130,9075980,9078430,first,1
y1_d001_CGA_QEA,252,9620380,9619030,9621680,first,1
y1_d001_CGA_QEA,255,9718180,9717230,9719230,first,1
y1_d001_CGA_QEA,311,11886230,11885980,11886580,second,1
y1_d001_CGA_QEA,311,11887230,11886580,11887930,first,2
y1_d002_CGA_QEA,7,244721,243721,245321,first,1
y1_d002_CGA_QEA,11,450721,449621,451571,first,1
y1_d002_CGA_QEA,30,1139571,1138321,1140371,first,1
y1_d002_CGA_QEA,31,1181171,1180321,1181971,first,1
y1_d002_CGA_QEA,35,1283721,1282921,1284821,first,1
y1_d002_CGA_QEA,49,1772821,1771771,1773671,second,1
y1_d002_CGA_QEA,49,1774221,1773671,1774971,first,2
y1_d002_CGA_QEA,124,4390071,4388821,4390971,first,1
y1_d002_CGA_QEA,128,4515221,4514371,4516421,first,1
y1_d002_CGA_QEA,142,5023471,5022971,5024521,first,1
y1_d002_CGA_QEA,145,5127921,5126571,5129221,first,1
y1_d002_CGA_QEA,176,6299221,6298321,6299971,first,1
y1_d002_CGA_QEA,227,8077671,8076271,8078471,first,1
y1_d002_CGA_QEA,232,8324421,8323771,8324921,second,1
y1_d002_CGA_QEA,232,8325521,8324921,8326371,first,2
y1_d002_CGA_QEA,254,9211371,9210371,9212221,first,1
y1_d003_CGA_QEA,5,72690,71840,73790,first,1
y1_d003_CGA_QEA,12,379540,378090,380390,first,1
y1_d003_CGA_QEA,14,430390,427990,431290,first,1
y1_d003_CGA_QEA,54,2510606,2510306,2510956,second,1
y1_d003_CGA_QEA,54,2511456,2510956,2512256,first,2
y1_d003_CGA_QEA,63,2916256,2914506,2917256,first,1
y1_d003_CGA_QEA,81,3557306,3555956,3558056,first,1
y1_d003_CGA_QEA,105,4451456,4450306,4452706,first,1
y1_d003_CGA_QEA,124,5267106,5265756,5268456,first,1
y1_d003_CGA_QEA,133,5482756,5482256,5483256,second,1
y1_d003_CGA_QEA,133,5483856,5483256,5484806,first,2
y1_d003_CGA_QEA,139,5737906,5736906,5738706,first,1
y1_d003_CGA_QEA,145,5892306,5889656,5893056,first,1
y1_d003_CGA_QEA,152,6202456,6201606,6203306,first,1
y1_d003_CGA_QEA,166,6787206,6786656,6788606,first,1
y1_d003_CGA_QEA,169,7246427,7245277,7247077,first,1
y1_d003_CGA_QEA,189,8047741,8046841,8048441,first,1
y1_d003_CGA_QEA,249,10208418,10207118,10209618,first,1
y1_d003_CGA_QEA,254,10481868,10480968,10482668,first,1
y1_d004_CGA_QEA,4,79183,77533,80041,first,1
y1_d004_CGA_QEA,50,1746577,1745752,1747699,first,1
y1_d004_CGA_QEA,56,2088978,2087493,2089737,first,1
y1_d004_CGA_QEA,81,3100298,3098846,3101057,first,1
y1_d004_CGA_QEA,86,3426152,3425492,3426713,first,1
y1_d004_CGA_QEA,112,4592841,4591191,4593831,first,1
y1_d004_CGA_QEA,126,5097345,5096982,5098038,first,1
y1_d004_CGA_QEA,195,7504159,7503862,7504885,second,1
y1_d004_CGA_QEA,195,7505578,7504885,7506205,first,2
y1_d004_CGA_QEA,200,7744956,7744164,7746144,first,1
y1_d004_CGA_QEA,234,9000212,8999222,9000938,second,1
y1_d004_CGA_QEA,234,9001334,9000938,9002423,first,2
y1_d004_CGA_QEA,241,9858576,9858213,9859038,second,1
y1_d004_CGA_QEA,241,9859863,9859038,9860853,first,2
y1_d004_CGA_QEA,249,10263585,10262133,10264575,first,1
y1_d004_CGA_QEA,307,12378920,12378062,12379976,first,1
y1_d005_JJS_YJD,8,205608,204585,206994,first,1
y1_d005_JJS_YJD,10,272962,272302,273391,second,1
y1_d005_JJS_YJD,10,273919,273391,274843,first,2
y1_d005_JJS_YJD,11,313486,312760,314872,first,1
y1_d005_JJS_YJD,16,588541,587386,589597,first,1
y1_d005_JJS_YJD,23,899324,897971,900347,first,1
y1_d005_JJS_YJD,51,1805603,1805108,1806329,first,1
y1_d005_JJS_YJD,64,2253051,2252490,2253810,second,1
y1_d005_JJS_YJD,64,2254173,2253810,2255064,first,2
y1_d005_JJS_YJD,96,3359509,3358618,3360730,first,1
y1_d005_JJS_YJD,119,4178669,4178339,4179692,first,1
y1_d005_JJS_YJD,152,5731419,5729934,5732640,first,1
y1_d005_JJS_YJD,153,5771448,5769798,5772141,first,1
y1_d005_JJS_YJD,160,6100228,6099403,6100525,second,1
y1_d005_JJS_YJD,160,6100954,6100525,6101878,first,2
y1_d005_JJS_YJD,193,7265690,7264832,7266317,first,1
y1_d006_JJS_YJD,13,326253,325603,326853,second,1
y1_d006_JJS_YJD,13,327553,326853,328503,first,2
y1_d006_JJS_YJD,65,2115103,2113253,2115903,first,1
y1_d006_JJS_YJD,109,3557803,3555403,3558503,first,1
y1_d006_JJS_YJD,136,4406953,4406353,4407553,second,1
y1_d006_JJS_YJD,136,4408103,4407553,4408953,first,2
y1_d006_JJS_YJD,150,4862703,4861953,4863503,first,1
y1_d006_JJS_YJD,202,6490253,6489153,6491253,first,1
y1_d006_JJS_YJD,208,6779653,6778753,6780253,first,1
y1_d006_JJS_YJD,230,7666703,7665353,7667703,first,1
y1_d006_JJS_YJD,236,7806303,7804753,7807203,first,1
y1_d006_JJS_YJD,248,8247803,8246853,8248403,first,1
y1_d006_JJS_YJD,291,9631053,9630553,9631653,second,1
y1_d006_JJS_YJD,291,9632253,9631653,9633103,first,2
y1_d006_MCJ_RZQ,12,302049,300762,302940,first,1
y1_d006_MCJ_RZQ,26,753391,752071,754315,first,1
y1_d006_MCJ_RZQ,63,1998020,1996700,1999043,first,1
y1_d006_MCJ_RZQ,77,2431178,2430221,2432168,first,1
y1_d006_MCJ_RZQ,136,4736502,4735809,4737723,first,1
y1_d006_MCJ_RZQ,138,4788378,4787784,4789467,first,1
y1_d006_MCJ_RZQ,235,8508880,8507989,8509705,first,1
y1_d006_MCJ_RZQ,244,8910688,8909632,8911447,first,1
y1_d006_MCJ_RZQ,256,9305534,9304181,9306458,first,1
y1_d006_MCJ_RZQ,288,10417470,10416579,10418031,first,1
y1_d006_MCJ_RZQ,307,11167132,11166604,11167660,second,1
y1_d006_MCJ_RZQ,307,11168254,11167660,11168947,first,2
y1_d007_JJS_YJD,74,2390759,2389709,2391509,first,1
y1_d007_JJS_YJD,133,4432059,4431509,4432759,first,1
y1_d007_JJS_YJD,154,5103759,5102209,5104959,first,1
y1_d007_JJS_YJD,171,5758909,5757459,5759959,first,1
y1_d007_JJS_YJD,213,7162359,7161109,7163459,first,1
y1_d007_JJS_YJD,224,7686159,7684809,7687559,first,1
y1_d007_JJS_YJD,235,7949159,7947859,7949759,first,1
y1_d007_JJS_YJD,262,8937909,8937159,8939209,first,1
y1_d007_JJS_YJD,278,9420309,9419259,9420959,first,1
y1_d007_JJS_YJD,290,9920759,9920259,9921809,first,1
y1_d007_MCJ_RZQ,15,525635,524785,526735,first,1
y1_d007_MCJ_RZQ,60,2001057,2000357,2001707,first,1
y1_d007_MCJ_RZQ,108,3629957,3628257,3630757,first,1
y1_d007_MCJ_RZQ,118,4036757,4036257,4038107,first,1
y1_d007_MCJ_RZQ,122,4181007,4180307,4181707,first,1
y1_d007_MCJ_RZQ,124,4228007,4226657,4229007,first,1
y1_d007_MCJ_RZQ,149,4994307,4993607,4994907,second,1
y1_d007_MCJ_RZQ,149,4995407,4994907,4996407,first,2
y1_d007_MCJ_RZQ,187,6253407,6252407,6254557,first,1
y1_d007_MCJ_RZQ,189,6305757,6304107,6306757,first,1
y1_d007_MCJ_RZQ,233,7788757,7788207,7789357,second,1
y1_d007_MCJ_RZQ,233,7790057,7789357,7790807,first,2
y1_d008_JJS_YJD,9,158908,157958,159458,first,1
y1_d008_JJS_YJD,21,568808,566108,569558,first,1
y1_d008_JJS_YJD,40,1203608,1203058,1203958,second,1
y1_d008_JJS_YJD,40,1204408,1203958,1205308,first,2
y1_d008_JJS_YJD,90,2701208,2699658,2702408,first,1
y1_d008_JJS_YJD,112,3498758,3497458,3499758,first,1
y1_d008_JJS_YJD,121,3814158,3812408,3814808,first,1
y1_d008_JJS_YJD,141,4533908,4532808,4535058,first,1
y1_d008_JJS_YJD,221,7317908,7316908,7319108,first,1
