game_str,play_id,throw_ts,player_position,thrower_id,trans_ms,ball_rel_x_adj,ball_rel_y_adj,ball_rel_z_adj,throw_mph
y1_d001_CGA_QEA,2,31649,9,QEA-0252,2350,36.012865794115044,231.78153331955275,5.65836,57.953321380915106
y1_d001_CGA_QEA,4,88399,7,QEA-0249,1600,-116.81932639880299,196.8104408632599,5.0715,48.98399824146026
y1_d001_CGA_QEA,17,444799,6,QEA-0027,850,-2.2555786123623918,161.87782392000872,6.46233,74.59328519220774
y1_d001_CGA_QEA,21,562499,5,QEA-0180,700,-49.116546160851456,93.4892003527428,3.99978,63.18015275410389
y1_d001_CGA_QEA,21,563799,4,QEA-0365,650,2.950940422466943,122.87891990068653,4.18248,65.00618779949492
y1_d001_CGA_QEA,25,675049,2,QEA-0071,750,0.06571110361723886,0.02969947550230634,6.10032,76.50993522800398
y1_d001_CGA_QEA,25,676899,6,QEA-0027,700,-0.903909,104.7666,6.41205,87.49693991999595
y1_d001_CGA_QEA,26,719299,2,QEA-0071,750,2.47197070721011,29.16272047369137,4.42263,75.13211129582743
y1_d001_CGA_QEA,28,895399,8,CGA-1547,1700,-28.37436,259.7856,6.28623,50.615953878841815
y1_d001_CGA_QEA,61,2305549,9,QEA-0252,1750,59.99305269339198,219.69650720375253,7.55118,39.35172893127986
y1_d001_CGA_QEA,61,2307749,4,QEA-0365,600,27.09936,143.5482,6.45726,23.60107665149786
y1_d001_CGA_QEA,71,2645599,9,CGA-1929,2000,131.77713047085803,204.1527390326172,5.23743,60.55533368420933
y1_d001_CGA_QEA,108,4099455,8,QEA-0235,1000,92.1492,336.39,5.42706,69.99418105056237
y1_d001_CGA_QEA,108,4101905,4,QEA-0365,550,39.0372,180.9111,4.71894,77.00812885847645
y1_d001_CGA_QEA,114,4233455,9,QEA-0252,2300,133.0143,304.665,6.50001,66.33951240719949
y1_d001_CGA_QEA,128,4861755,7,CGA-1198,900,-118.25446224227123,193.3836049317161,3.08118,60.11194407092101
y1_d001_CGA_QEA,136,5164805,6,CGA-2010,1150,-13.21932,138.3684,4.45305,76.47996662699337
y1_d001_CGA_QEA,137,5202905,8,QEA-0235,850,-31.9302,254.7366,5.964,49.189701530170865
y1_d001_CGA_QEA,138,5243405,1,QEA-0127,1800,27.29829,58.3773,3.31173,29.171461533746744
y1_d001_CGA_QEA,141,5428705,6,QEA-0027,1350,-16.587629821045063,123.96598948707043,5.14248,81.07485397403126
y1_d001_CGA_QEA,170,6624969,9,QEA-0252,1100,108.1367096154557,199.00673346922738,3.74661,56.862628588169805
y1_d001_CGA_QEA,170,6626569,4,QEA-0365,800,56.4126,169.7949,5.4441,93.25829487849721
y1_d001_CGA_QEA,176,6827669,4,QEA-0365,1600,37.5399,117.804,0.0,
y1_d001_CGA_QEA,185,7077519,6,CGA-2010,1350,-9.2911076099029,119.49989630431881,3.7434,79.34188426354292
y1_d001_CGA_QEA,189,7294580,8,CGA-1547,1100,-9.494911341789829,276.31038555358,6.14889,54.14206235879426
y1_d001_CGA_QEA,190,7380830,2,CGA-2223,700,-0.1483323388052189,-0.2900387297179312,5.56065,76.00164166648469
y1_d001_CGA_QEA,195,7502680,9,CGA-1929,2600,71.46737092172049,173.67136192689514,5.83599,52.90391363552328
y1_d001_CGA_QEA,212,8197180,9,QEA-0252,1100,75.0591,225.0963,5.5281,88.6427431210695
y1_d001_CGA_QEA,216,8334630,9,QEA-0252,1350,191.84088030578457,235.7526130726378,7.01424,78.36645679816317
y1_d001_CGA_QEA,218,8410080,1,QEA-0152,1500,8.903925038769284,57.877311130918514,5.72862,51.50942154637015
y1_d001_CGA_QEA,236,9077130,5,CGA-1824,1150,-63.51242575657848,95.32469066436099,5.30238,73.7448253094586
y1_d001_CGA_QEA,240,9205680,7,CGA-1198,2050,-126.96392586202593,253.7137838720666,5.84229,52.831933200428125
y1_d001_CGA_QEA,250,9454980,4,QEA-0365,550,10.538463344174055,139.70629417582194,3.02337,19.108586574612467
y1_d001_CGA_QEA,252,9620380,5,QEA-0180,1350,-50.04775426458682,96.32090418601067,4.99077,68.23902605064214
y1_d001_CGA_QEA,255,9718180,6,QEA-0027,950,-2.6108550165614184,143.7330944364316,5.38974,71.75193313810314
y1_d001_CGA_QEA,256,9871680,8,QEA-0235,2000,28.1097364642467,212.2734621371884,7.11096,38.71314357750531
y1_d001_CGA_QEA,260,9982680,9,QEA-0252,1650,76.7346,198.1254,6.11805,57.86063847449653
y1_d001_CGA_QEA,262,10056130,7,QEA-0249,1200,-129.55912035638607,216.31184822475487,5.65782,82.72232510586932
y1_d001_CGA_QEA,271,10367430,7,QEA-0249,1350,-82.97349821845944,202.93817690865797,5.84091,83.45740777286208
y1_d001_CGA_QEA,274,10466830,9,QEA-0252,1250,99.56903669595084,254.7668063826743,6.97506,67.24083789306647
y1_d001_CGA_QEA,289,11119830,9,QEA-0252,1850,67.50136446583122,265.80567852062734,6.94902,63.40029159718616
y1_d001_CGA_QEA,308,11785980,8,QEA-0235,1150,-33.41546201396721,218.67910102265748,7.40532,42.30458799892574
y1_d001_CGA_QEA,311,11886230,4,QEA-0365,250,10.88994,125.0991,3.04845,22.895369480367616
y1_d001_CGA_QEA,311,11887230,6,QEA-0027,650,3.7402973161660036,125.0444903036057,5.30082,81.12054536242931
y1_d002_CGA_QEA,10,416871,7,CGA-1353,1450,-101.2887,248.733,4.99536,74.67276724266453
y1_d002_CGA_QEA,11,450721,1,CGA-2074,1100,-20.288959689435753,48.344498480787486,5.9073,72.23043166432066
y1_d002_CGA_QEA,30,1139571,4,QEA-0369,1250,8.483699743030417,112.84037945970542,5.11353,58.745091316772
y1_d002_CGA_QEA,31,1181171,2,QEA-0120,850,5.89581,12.35919,4.56789,70.1981474044143
y1_d002_CGA_QEA,35,1283721,6,QEA-0027,800,-25.62402,127.9377,3.03507,80.08322733067833
y1_d002_CGA_QEA,49,1772821,1,CGA-2074,1050,-11.44443,61.4313,5.8797,58.97898183705788
y1_d002_CGA_QEA,49,1774221,6,CGA-2010,550,2.401278,129.1779,3.93915,84.75375161273163
y1_d002_CGA_QEA,92,3088471,7,CGA-1353,1050,-205.818636059911,235.6177758950407,10.7358,74.42748845851105
y1_d002_CGA_QEA,92,3091071,6,CGA-2010,650,-82.30764333779497,123.70610753684566,1.892928,76.54983554815995
y1_d002_CGA_QEA,99,3367471,9,CGA-1547,1300,137.2593,163.6188,5.55999,83.82421913010617
y1_d002_CGA_QEA,108,3769621,9,CGA-1547,1650,109.3575,179.0994,5.67405,52.7028058544087
y1_d002_CGA_QEA,115,4095771,9,QEA-0364,1550,125.31687607595174,199.11759365732416,6.36828,60.204660849912244
y1_d002_CGA_QEA,118,4204071,7,QEA-0365,2400,-132.7449,124.8825,6.50295,29.139666972139043
y1_d002_CGA_QEA,124,4390071,6,QEA-0027,1250,2.359155,128.4774,3.68028,69.21600817740418
y1_d002_CGA_QEA,125,4431571,8,QEA-0235,900,33.29831637509822,264.9980887379762,6.11049,47.81176940040216
y1_d002_CGA_QEA,128,4515221,6,QEA-0027,850,-24.20901,132.6753,3.20247,68.87823339514614
y1_d002_CGA_QEA,142,5023471,5,CGA-1198,500,-34.42896068153188,67.87431303163538,4.2918,69.00465660438594
y1_d002_CGA_QEA,145,5127921,5,CGA-1198,1350,-65.05661743189886,73.66466796076013,3.79494,73.54928568853447
y1_d002_CGA_QEA,149,5320271,1,QEA-0150,1700,4.097084312128014,43.59446028968938,5.86695,68.14733834268795
y1_d002_CGA_QEA,173,6211421,7,CGA-1353,900,-132.9663,216.7797,4.99218,49.00373886499362
y1_d002_CGA_QEA,173,6214171,6,CGA-2010,950,-39.64952410262246,153.47659672726476,6.14256,58.18319397822801
y1_d002_CGA_QEA,176,6299221,1,QEA-0150,900,-4.69407,38.3763,4.95249,69.92182601924058
y1_d002_CGA_QEA,177,6343721,7,QEA-0365,900,-155.15219908278152,262.2837249510229,4.3773,72.64836203578491
y1_d002_CGA_QEA,205,7368071,5,QEA-0180,950,-46.417766747213214,70.58286162012054,5.64756,73.90726701872903
y1_d002_CGA_QEA,214,7739271,7,CGA-1353,1800,-148.00034795708947,197.6098281687768,5.90043,50.32554435500876
y1_d002_CGA_QEA,227,8077671,4,CGA-1824,1400,63.9027,129.0744,4.11654,64.13585394927864
y1_d002_CGA_QEA,230,8256771,7,QEA-0365,1100,-109.647,123.5193,5.7885,74.78796157216121
y1_d002_CGA_QEA,232,8324421,6,QEA-0027,650,40.1035588785838,136.85298700636838,3.82584,57.987795362685326
y1_d002_CGA_QEA,232,8325521,5,QEA-0180,600,2.045547,127.608,4.47219,72.35710324638012
y1_d002_CGA_QEA,252,9139421,7,CGA-1353,1550,-168.80601250719369,208.0946622941275,7.52079,59.8511804443653
y1_d002_CGA_QEA,254,9211371,1,CGA-2388,1000,16.23984,44.6778,6.21642,43.63878215600626
y1_d002_CGA_QEA,263,9595721,8,QEA-0235,3100,24.10613674752221,387.58146084478653,6.68685,71.40620565367264
y1_d003_CGA_QEA,5,72690,4,QEA-0365,850,-18.974706093814106,132.95187233228222,4.65546,69.34734364633067
y1_d003_CGA_QEA,12,379540,4,CGA-1458,1450,67.2454074060406,110.59195270463482,6.36024,35.726907991479244
y1_d003_CGA_QEA,14,430390,1,CGA-1559,2400,23.5227,63.8346,7.3554,30.778592981840536
y1_d003_CGA_QEA,42,1488059,9,CGA-1198,1600,88.44825184561128,220.08000476849946,6.72666,64.25017449120932
y1_d003_CGA_QEA,59,2776406,7,CGA-1824,1200,-122.04180939361989,232.7815532321236,6.05067,56.66415188843229
y1_d003_CGA_QEA,63,2916256,5,CGA-1166,1750,-47.33676372336813,74.8101095562583,6.09993,79.01706571610151
y1_d003_CGA_QEA,80,3507756,2,CGA-1503,650,-0.506154,-0.47504100000000005,5.01318,76.39915688943492
y1_d003_CGA_QEA,81,3557306,4,CGA-1458,1350,67.8618673716237,127.86521266779582,3.82986,59.92993343140382
y1_d003_CGA_QEA,92,3995556,9,CGA-1198,1450,60.7677370775663,327.44010319860195,6.33849,78.25987391881515
y1_d003_CGA_QEA,100,4347806,8,CGA-1547,2050,83.08808189603806,289.33049655483035,9.10872,53.090446200337816
y1_d003_CGA_QEA,105,4451456,6,QEA-0027,1150,-37.5663569480598,121.96218600063627,5.27547,68.57300494621713
y1_d003_CGA_QEA,113,4811756,2,QEA-0071,1400,3.04035,-3.93429,4.70538,53.99768851078343
y1_d003_CGA_QEA,113,4819106,9,QEA-0249,750,138.6372,143.2932,6.13131,82.27596302888217
y1_d003_CGA_QEA,116,4930306,1,QEA-0301,1250,-10.9581,32.2326,6.73158,43.865982271970665
y1_d003_CGA_QEA,124,5267106,5,CGA-1166,1350,-62.3016,90.6555,5.79492,72.00486929090576
y1_d003_CGA_QEA,133,5482756,6,CGA-2010,500,-35.42014745220624,120.60636448048002,2.281512,52.058851858407024
y1_d003_CGA_QEA,133,5483856,4,CGA-1458,600,-0.897897,127.1835,4.47402,67.95354728182305
y1_d003_CGA_QEA,139,5737906,3,QEA-0263,1000,55.27480546779688,91.9708026409659,3.05715,30.170667451564928
y1_d003_CGA_QEA,145,5892306,1,QEA-0301,2650,27.128934217188398,56.65964774352823,3.5088,32.72734528196353
y1_d003_CGA_QEA,150,6124756,8,CGA-1547,1150,81.7266,343.071,5.46867,79.95131925452502
y1_d003_CGA_QEA,152,6202456,4,CGA-1458,850,13.474625090576245,125.03160813660836,5.51703,65.09645553845314
y1_d003_CGA_QEA,157,6498706,2,CGA-1503,3300,-7.2915958061078,7.591124743422675,5.15961,73.45391031298195
y1_d003_CGA_QEA,157,6500106,3,CGA-1592,500,60.4203,63.924,4.07598,
y1_d003_CGA_QEA,162,6680506,9,QEA-0249,1250,96.1074,237.1773,5.33109,60.83252330395948
y1_d003_CGA_QEA,166,6787206,5,QEA-0369,550,-54.83349012014919,96.95960419605727,5.90466,67.93227466352062
y1_d003_CGA_QEA,169,7246427,4,QEA-0365,1150,39.6453,87.3051,6.71862,33.90533634713864
y1_d003_CGA_QEA,171,7310127,2,QEA-0071,650,-0.4014660000000001,-0.79836,5.42583,75.6392102315321
y1_d003_CGA_QEA,189,8047741,3,CGA-1592,900,29.74443,38.9763,5.37102,42.63759509698329
y1_d003_CGA_QEA,198,8355291,9,CGA-1198,1400,116.02508332725155,174.3122571689972,6.38448,74.37849508220638
y1_d003_CGA_QEA,229,9572891,9,QEA-0249,1550,158.91820471653946,310.708063815609,6.3687,73.83686774798572
y1_d003_CGA_QEA,254,10481868,6,CGA-2010,900,-17.143446205176453,99.28892854191741,5.32713,75.32159653695712
y1_d003_CGA_QEA,277,11358418,8,CGA-1547,1450,29.747637525972642,247.37054059609483,4.97598,
y1_d004_CGA_QEA,4,79183,1,QEA-0256,1650,16.29009,54.1851,6.84237,39.58149895122178
y1_d004_CGA_QEA,6,128617,8,QEA-0252,1584,-59.6898,262.3449,6.08214,63.13928369833544
y1_d004_CGA_QEA,11,261442,7,QEA-0364,2145,-103.06873564735623,179.38897987258238,6.37095,51.773060481814355
y1_d004_CGA_QEA,50,1746577,6,CGA-2010,825,12.42012,150.6399,3.40869,65.99624595375742
y1_d004_CGA_QEA,56,2088978,4,CGA-1458,1485,27.620775067304066,125.7273455326382,4.93872,63.519223406669944
y1_d004_CGA_QEA,75,2718585,7,QEA-0364,1485,-145.65821459445033,212.69995652639406,5.63439,73.6195059683023
y1_d004_CGA_QEA,81,3100298,6,QEA-0027,1452,2.0751097256601096,117.02767811118626,5.49012,81.17990112468688
y1_d004_CGA_QEA,84,3251714,2,QEA-0120,792,-2.277582660210895,1.0843181005351108,5.70843,75.5548340411519
y1_d004_CGA_QEA,86,3426152,6,QEA-0027,660,-7.5153,103.4139,1.739805,98.84755082039727
y1_d004_CGA_QEA,92,3922049,9,CGA-1929,1188,219.44915791136094,250.64464480972177,6.59193,67.8876739823694
y1_d004_CGA_QEA,92,3925283,4,CGA-1458,1749,87.2232,182.1927,4.90722,64.7671635961728
y1_d004_CGA_QEA,112,4592841,5,CGA-1824,1650,-30.7212,89.0628,1.822671,69.48690514601837
y1_d004_CGA_QEA,115,4695273,8,CGA-1547,1155,28.261307554506413,336.4727355364527,5.18016,81.20582921029231
y1_d004_CGA_QEA,126,5097345,1,CGA-2438,363,35.7165,88.2282,0.59574,38.983809986736254
y1_d004_CGA_QEA,195,7504159,4,QEA-0365,297,30.4824,135.5592,2.446287,37.467338631343964
y1_d004_CGA_QEA,195,7505578,6,QEA-0027,693,7.9065,130.5252,3.0972,97.83873192722571
y1_d004_CGA_QEA,200,7744956,5,QEA-0180,792,-48.035140365891785,100.49231777618999,5.61228,72.64063245488161
y1_d004_CGA_QEA,215,8105944,7,CGA-1353,1188,-112.9524,156.7347,5.73741,19.36713718458217
