,game_str,play_id,hit_time,bounce_timestamp,ball_position_x,ball_position_y,infield_bounce
0,y1_d069_ACN_QEA,19,632253,632453,20.21193,31.1913,True
1,y1_d069_ACN_QEA,46,1728503,1728603,2.9499,15.8268,True
2,y1_d069_ACN_QEA,49,1789903,1790003,0.5772,20.7297,True
3,y1_d069_ACN_QEA,67,2499503,2499553,-0.3279,6.3573,True
4,y1_d069_ACN_QEA,84,3233644,3233844,6.62178,18.3492,True
5,y1_d069_ACN_QEA,109,4273894,4274044,-2.2038,4.8615,True
6,y1_d069_ACN_QEA,118,4674694,4676244,-18.17097,26.65935,True
7,y1_d069_ACN_QEA,129,5159894,5159944,0.3516,3.6435,True
8,y1_d069_ACN_QEA,146,5795794,5795894,7.401,10.0986,True
9,y1_d069_ACN_QEA,154,6120994,6121044,-0.0714,6.4692,True
10,y1_d070_ACN_QEA,14,282987,283087,2.7636,6.6651,True
11,y1_d070_ACN_QEA,52,1556587,1556637,-4.3935,11.1168,True
12,y1_d070_ACN_QEA,68,2018087,2018337,-8.80404,19.3683,True
13,y1_d070_ACN_QEA,71,2075837,2075887,-1.0437,9.2394,True
14,y1_d070_ACN_QEA,86,2588637,2588837,-4.06035,31.3599,True
15,y1_d070_ACN_QEA,96,2913137,2913287,1.0059,18.2175,True
16,y1_d070_ACN_QEA,103,3045787,3045887,-4.4718,8.1402,True
17,y1_d070_ACN_QEA,104,3079887,3080087,-4.82811,11.50572,True
18,y1_d070_ACN_QEA,106,3272337,3272387,0.0363,6.1395,True
19,y1_d070_ACN_QEA,113,3466437,3466487,-3.798,7.1415,True
20,y1_d070_ACN_QEA,139,4513487,4513587,5.1327,9.8604,True
21,y1_d070_ACN_QEA,160,5288787,5288887,-1.0167,13.5084,True
22,y1_d070_ACN_QEA,176,5888837,5889187,8.2824,47.166,True
23,y1_d070_ACN_QEA,214,7001087,7001137,0.6183,1.3638,True
24,y1_d070_ACN_QEA,227,7477837,7477937,-1.806,10.1337,True
25,y1_d070_ACN_QEA,231,7604487,7604587,0.1119,6.7575,True
26,y1_d070_ACN_QEA,239,7952687,7952787,-0.3327,14.0019,True
27,y1_d070_ACN_QEA,244,8103787,8103887,-2.7357,13.1589,True
